n,r,m
(:Entity {name: ප්‍රොමිසරි නෝට්ටුවක්}),[:පොරොන්දු_වීම],(:Entity {name: නිශ්චිත මුදලක් ගෙවීමට})
(:Entity {name: චෙක්පතක්}),[:ස්වභාවය],(:Entity {name: බැංකුවක් වෙත ඇදී ඇති විනිමය බිල්පතක්})
(:Entity {name: චෙක්පතක්}),[:ඇදිය_යුත්තේ],(:Entity {name: බැංකුවක් වෙත})
(:Entity {name: චෙක්පතක්}),[:අනිවාර්ය_වීම],(:Entity {name: පශ්චාත් දිනය සහිත})
(:Entity {name: චෙක්පතක්}),[:ගෙවීම],(:Entity {name: ඉල්ලීම මත})
(:Entity {name: අඳින්නා}),[:කාර්යභාරය],(:Entity {name: බිල්පත ඇඳීමට සහ අත්සන් කරන පුද්ගලයා})
(:Entity {name: අඳින්නා}),[:ඇපකරයි],(:Entity {name: ගෙවීමට නියමිත පාර්ශවය එය පිළිගන්නා බවට})
(:Entity {name: අඳින්නා}),[:ඇපකරයි],(:Entity {name: පිළිගත් විට සහ ඉදිරිපත් කළ විට එය ගෙවන බවට})
(:Entity {name: අඳින්නා}),[:වගකීම],(:Entity {name: බිල්පත අවනත කළහොත් එය ගෙවීමට})
(:Entity {name: අඳින්නා}),[:හැකියාව],(:Entity {name: වගකීම් වියාචනය කිරීමේ ප්‍රකාශයක් මගින් බැහැර කළ හැකිය})
(:Entity {name: අඳින්නා}),[:දඬුවම],(:Entity {name: දඩ මුදලක් හෝ සිර දඬුවමක්})
(:Entity {name: ගෙවන්නා}),[:කාර්යභාරය],(:Entity {name: බිල්පත ගෙවීමට නියෝග කරන ලද පුද්ගලයා})
(:Entity {name: ගෙවන්නා}),[:පත්_කිරීම],(:Entity {name: පිළිගත් පසු ප්‍රතිග්‍රාහක බවට})
(:Entity {name: ලබන්නා}),[:කාර්යභාරය],(:Entity {name: මුදල් ලැබීමට හිමිකම් ඇති පුද්ගලයා})
(:Entity {name: පිළිගැනීම}),[:ක්‍රමය],(:Entity {name: බිල්පත මත පිළිගත්තා යන වචනය ලියා අත්සන් කිරීම})
(:Entity {name: පිළිගැනීම}),[:වර්ග],(:Entity {name: සම්පූර්ණ හෝ සුදුසු විය හැකිය})
(:Entity {name: පිළිගැනීම}),[:අර්ථ_දැක්වීම],(:Entity {name: ගෙවීමට නියමිත පාර්ශවය විසින් බිල්පත ගෙවීමට එකඟ වීම})
(:Entity {name: ගෙවීමට නියමිත පාර්ශවය}),[:පත්_කිරීම],(:Entity {name: පිළිගැනීමෙන් පසු ප්‍රතිග්‍රාහක බවට})
(:Entity {name: ප්‍රතිග්‍රාහකයා}),[:වගකීම],(:Entity {name: බිල්පත ගෙවීමට ප්‍රාථමික වගකීම})
(:Entity {name: සුදුසු පිළිගැනීමක්}),[:උදාහරණ],(:Entity {name: කොටසක් පමණක් ගෙවීමට එකඟ වීම})
(:Entity {name: සුදුසු පිළිගැනීමක්}),[:උදාහරණ],(:Entity {name: නිශ්චිත ස්ථානයක පමණක් ගෙවීමට එකඟ වීම})
(:Entity {name: සුදුසු පිළිගැනීමක්}),[:අර්ථ_දැක්වීම],(:Entity {name: කොන්දේසි සහිතව හෝ වෙනස්කම් සහිතව බිල්පත පිළිගැනීම})
(:Entity {name: හිමිකරු}),[:වගකීම],(:Entity {name: භාණ්ඩ සුදුසු තත්ත්වයේ තබා ගැනීම})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: සුදුසු පිළිගැනීමක් ප්‍රතික්ෂේප කළ හැකිය})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: අවනත වීමේ සහතිකයක් ලබා ගත හැකිය})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: පිළිගන්නාට එරෙහිව සෘජුවම නඩු පැවරිය හැකිය})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: සියලු පාර්ශ්වකරුවන්ට එරෙහිව නඩු පැවරිය හැකිය})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: කුලියට ගන්නා තැනැත්තා ගිවිසුමේ කොන්දේසි උල්ලංඝනය කළ විට})
(:Entity {name: හිමිකරු}),[:හැකියාව],(:Entity {name: ගිවිසුමේ සඳහන් කර ඇත්නම් ප්‍රමාද ගාස්තු හෝ පොලී අය කළ හැකිය})
(:Entity {name: හිමිකරු}),[:හැකියාව],"(:Entity {name: ගිවිසුමේ පැහැදිලිව සඳහන් කර ඇත්නම් බදු, රක්ෂණ, ස්ථාපන ගාස්තු අය කළ හැකිය})"
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: බිල්පත අනුමත කිරීමට})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: එය ඉදිරිපත් කිරීමට})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: ගෙවීම් ලබා ගැනීමට})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: අවනත වූ විට නීතිමය ක්‍රියාමාර්ග ගැනීමට})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: කල් ඉකුත් වන විට ගෙවීම් ලබා ගැනීම})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: අවනත වූ විට සියලු පාර්ශ්වකරුවන්ට එරෙහිව නඩු පැවරීම})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: බිල්පත මාරු කිරීම හෝ අනුමත කිරීම})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: වාරික ලබා ගැනීම})
(:Entity {name: හිමිකරු}),[:අයිතිවාසිකම],(:Entity {name: සාධාරණ වේලාවන්හිදී භාණ්ඩ පරීක්ෂා කිරීමට})
(:Entity {name: හිමිකරු}),[:යුතුකම],(:Entity {name: සියලු පාර්ශ්වකරුවන්ට වහාම දැනුම් දිය යුතුයි})
(:Entity {name: හිමිකරු}),[:යුතුකම],(:Entity {name: අවනත වූ දිනයේ සිට මාස 6ක් ඇතුළත නීතිමය දැනුම්දීමක් යැවිය යුතුයි})
(:Entity {name: හිමිකරු}),[:යුතුකම],(:Entity {name: ගිවිසුමකට පෙර මුදල් මිල ලිඛිතව ප්‍රකාශ කළ යුතුයි})
(:Entity {name: හිමිකරු}),[:යුතුකම],(:Entity {name: මුදල් මිල ලිඛිතව ප්‍රකාශ කිරීම})
(:Entity {name: හිමිකරු}),[:යුතුකම],(:Entity {name: ගිවිසුමේ පිටපතක් කුලියට ගන්නා තැනැත්තාට ලබා දීම})
(:Entity {name: හිමිකරු}),[:අර්ථ_දැක්වීම],(:Entity {name: බිල්පත සන්තකයේ තබාගෙන සිටින සහ එය ලැබීමට හිමිකම් ඇති පුද්ගලයා})
(:Entity {name: හිමිකරු}),[:නොහැකියාව],(:Entity {name: මුදල් මිල ලිඛිතව ප්‍රකාශ කර නොමැති නම්})
(:Entity {name: හිමිකරු}),[:නොහැකියාව],(:Entity {name: ගිවිසුම කුලියට ගන්නා තැනැත්තා අත්සන් කර නොමැති නම්})
(:Entity {name: හිමිකරු}),[:නොහැකියාව],(:Entity {name: ගිවිසුමේ අවශ්‍ය තොරතුරු නොමැති නම්})
(:Entity {name: බිල්පත}),[:හැකියාව],(:Entity {name: මුදල් ලබන්නා හෝ හාරකයා වෙත ගෙවිය යුතු ලෙස ලියා තිබේ නම්})
(:Entity {name: බිල්පත}),[:හැකියාව],(:Entity {name: අප්‍රතිදේය යන වචන නොමැති නම්})
(:Entity {name: බිල්පත}),[:හැකියාව],(:Entity {name: පිටසන් කිරීම මගින් හෝ බාර දීම මගින්})
(:Entity {name: බිල්පත}),[:සාක්ෂිය],(:Entity {name: ප්‍රමාණවත් සාක්ෂියක් වේ})
(:Entity {name: බිල්පත}),[:සාක්ෂිය_ලෙස],(:Entity {name: තමන් විසින්ම ණය පිළිබඳ ප්‍රමාණවත් සාක්ෂියක්})
(:Entity {name: බිල්පත}),[:යටත්ත්වය],(:Entity {name: පිළිගැනීම ප්‍රතික්ෂේප කළ විට})
(:Entity {name: බිල්පත}),[:යටත්ත්වය],(:Entity {name: ගෙවීම ප්‍රතික්ෂේප කළ විට})
(:Entity {name: බිල්පත}),[:සැලකීම],(:Entity {name: ප්‍රතික්ෂේප කළහොත් අවනත වූ බවට})
(:Entity {name: බිල්පත}),[:නිදහස්_වීම],(:Entity {name: නිසි ලෙස ගෙවීමෙන්})
(:Entity {name: බිල්පත}),[:නිදහස්_වීම],(:Entity {name: පිළිගන්නා හිමිකරු වීමෙන්})
(:Entity {name: බිල්පත}),[:නිදහස්_වීම],(:Entity {name: අත්හැරීමෙන්})
(:Entity {name: බිල්පත}),[:නිදහස්_වීම],(:Entity {name: රද්දු කිරීමෙන්})
(:Entity {name: නීතියානුකූල හිමිකරු}),[:කොන්දේසිය],(:Entity {name: බිල්පත සම්පූර්ණ සහ නිත්‍ය වී තිබිය යුතුයි})
(:Entity {name: නීතියානුකූල හිමිකරු}),[:කොන්දේසිය],(:Entity {name: කල් ඉකුත් වීමට පෙර සහ අවනත වීමට පෙර ලබාගෙන තිබිය යුතුයි})
(:Entity {name: නීතියානුකූල හිමිකරු}),[:කොන්දේසිය],(:Entity {name: හොඳ විශ්වාසයෙන් සහ වටිනාකමක් සඳහා ලබාගෙන තිබිය යුතුයි})
(:Entity {name: නීතියානුකූල හිමිකරු}),[:කොන්දේසිය],(:Entity {name: බිල්පතේ දෝෂයක් ඇති බව නොදැන සිටිය යුතුයි})
(:Entity {name: නීතියානුකූල හිමිකරු}),[:ආරක්ෂාව],(:Entity {name: පෙර පාර්ශ්වකරුවන්ගේ දෝෂ වලින් ආරක්ෂා වීම})
(:Entity {name: සාකච්ඡා කළ හැකි බිල්පත}),[:ලබා_දීම],(:Entity {name: නව හිමිකරුට පෙර හිමිකරුට වඩා හොඳ හිමිකම්})
(:Entity {name: අනුමත කිරීම}),[:අර්ථ_දැක්වීම],(:Entity {name: හිමිකරු විසින් බිල්පතේ පිටුපස අත්සන් කිරීමෙන් එය මාරු කිරීම})
(:Entity {name: බ්ලැන්ක් අනුමත කිරීම}),[:ක්‍රමය],(:Entity {name: හිමිකරු තම අත්සන පමණක් තබයි})
(:Entity {name: බ්ලැන්ක් අනුමත කිරීම}),[:ලක්ෂණය],(:Entity {name: නම සඳහන් නොකර අත්සන් පමණක්})
(:Entity {name: බ්ලැන්ක් අනුමත කිරීම}),[:ප්‍රතිඵලය],(:Entity {name: බිල්පත bearer බිල්පතක් බවට පත්වේ})
(:Entity {name: විශේෂ අනුමත කිරීම}),[:ක්‍රමය],(:Entity {name: නිශ්චිත පුද්ගලයෙකුගේ නම සඳහන් කරයි})
(:Entity {name: විශේෂ අනුමත කිරීම}),[:ලක්ෂණය],(:Entity {name: නිශ්චිත පුද්ගලයෙකුට මාරු කිරීම})
(:Entity {name: විශේෂ අනුමත කිරීම}),[:ප්‍රතිඵලය],(:Entity {name: එම පුද්ගලයාට පමණක් ගෙවිය යුතු වේ})
(:Entity {name: සීමිත අනුමත කිරීම}),[:ලක්ෂණය],(:Entity {name: වගකීම් බැහැර කිරීම})
(:Entity {name: සීමිත අනුමත කිරීම}),[:බලපෑම],(:Entity {name: අනුමත කරන්නාගේ වගකීම් බැහැර කරයි})
(:Entity {name: සීමිත අනුමත කිරීම}),[:බලපෑම],(:Entity {name: බිල්පතේ සාකච්ඡා කළ හැකි ස්වභාවය සීමා වේ})
(:Entity {name: සීමිත අනුමත කිරීම}),[:වර්ගය],(:Entity {name: ගෙවීම පමණි ලියා තවදුරටත් මාරු කිරීම නවත්වයි})
(:Entity {name: කොන්දේසි සහිත අනුමත කිරීම}),[:ලක්ෂණය],(:Entity {name: කොන්දේසි සමඟ මාරු කිරීම})
(:Entity {name: ලබා දීම}),[:කොන්දේසිය],(:Entity {name: හිමිකම් මාරු කිරීමට උත්සාහයකින් ලබා දිය යුතුයි})
(:Entity {name: ලබා දීම}),[:අර්ථ_දැක්වීම],(:Entity {name: බිල්පතේ භෞතික සන්තකය මාරු කිරීම})
(:Entity {name: ධාරකයා බිල්පත}),[:අවශ්‍යතාව],(:Entity {name: ලබා දීම පමණක් ප්‍රමාණවත් වේ})
(:Entity {name: අනවුම් බිල්}),[:අවශ්‍යතාව],(:Entity {name: අනුමත කිරීම සහ ලබා දීම දෙකම අවශ්‍ය වේ})
(:Entity {name: ගෙවීම සඳහා ඉදිරිපත් කිරීම}),[:කාලය],(:Entity {name: දින බිල්පතක් නම් ඉල්ලීම මත})
(:Entity {name: ගෙවීම සඳහා ඉදිරිපත් කිරීම}),[:කාලය],(:Entity {name: කාල බිල්පතක් නම් කල් ඉකුත් වන දිනයේ හෝ ඊට පෙර})
(:Entity {name: ගෙවීම සඳහා ඉදිරිපත් කිරීම}),[:ස්ථානය],(:Entity {name: බිල්පතේ සඳහන් ස්ථානයේ නැතිනම් අණ ලද්දා ගේ ව්‍යාපාරික ස්ථානයේ})
(:Entity {name: ගෙවීම සඳහා ඉදිරිපත් කිරීම}),[:පුද්ගලයා],(:Entity {name: අණ ලද්දා හෝ ප්‍රතිග්‍රාහක වෙත})
(:Entity {name: චෙක්පත}),[:ඉදිරිපත්_කිරීම],(:Entity {name: නිකුත් කළ දිනයේ සිට සාධාරණ කාලයක් තුළ})
(:Entity {name: පිළිගැනීම සඳහා ඉදිරිපත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: බිල්පතේ එය අවශ්‍ය බව සඳහන් වී ඇති විට})
(:Entity {name: පිළිගැනීම සඳහා ඉදිරිපත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: දැකීමෙන් පසු නිශ්චිත කාලයකට ගෙවිය යුතු බිල්පතක් නම්})
(:Entity {name: පිළිගැනීම සඳහා ඉදිරිපත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: drawee හැර වෙනත් පුද්ගලයෙකු වෙත ඇදී ඇති විට})
(:Entity {name: අවනත වීමේ දැනුම්දීම}),[:ක්‍රමය],(:Entity {name: ලිඛිත හෝ වාචික ලෙස})
(:Entity {name: අවනත වීමේ දැනුම්දීම}),[:කාලය],(:Entity {name: අවනත වූ දිනයේ හෝ ඊළඟ ව්‍යාපාරික දිනයේ})
(:Entity {name: අවනත වීමේ දැනුම්දීම}),[:ලබා_දීම],(:Entity {name: අඳින්නාට සහ සියලු අනුමත කරන්නන්ට})
(:Entity {name: දැනුම් නොදීම}),[:ප්‍රතිඵලය],(:Entity {name: වගකීම් අහිමි විය හැකිය})
(:Entity {name: විරෝධතා සහතිකය}),[:අවශ්‍යතාව],(:Entity {name: විදේශීය බිල්පත් අවනත වූ විට})
(:Entity {name: විරෝධතා සහතිකය}),[:අර්ථ_දැක්වීම],(:Entity {name: බිල්පත අවනත වූ බව නිල වශයෙන් සහතික කිරීම})
(:Entity {name: විරෝධතා සහතිකය}),[:නිකුත්_කිරීම],(:Entity {name: නොතාරිස් මහතාවරයකු හෝ වෙනත් බලයලත් නිලධාරියකු})
(:Entity {name: විරෝධතා සහතිකය}),[:ලැබීම],(:Entity {name: අවනත වූ දිනයේ හෝ ඊළඟ ව්‍යාපාරික දිනයේ})
(:Entity {name: පිළිගන්නා}),[:වගකීම],(:Entity {name: බිල්පත කල් ඉකුත් වන විට ගෙවීමට බැඳී සිටී})
(:Entity {name: පිළිගන්නා}),[:තත්ත්වය],(:Entity {name: බිල්පතේ ප්‍රාථමික ණයකරුවා})
(:Entity {name: පිළිගන්නා}),[:ප්‍රතිස්ථාපනය_කිරීම],(:Entity {name: drawee ගේ පැවැත්ම සහ අත්සන් කිරීමට හැකියාව})
(:Entity {name: අනුමත කරන්නා}),[:වගකීම],(:Entity {name: බිල්පත පිළිගැනීමට සහ ගෙවීමට ඇපකරයි})
(:Entity {name: අනුමත කරන්නා}),[:වගකීම],(:Entity {name: අවනත වූ විට ගෙවීමට})
(:Entity {name: අනුමත කරන්නා}),[:අයිතිවාසිකම],(:Entity {name: බිල්පත ගෙවීමෙන් පසු පෙර පාර්ශ්වකරුවන්ට එරෙහිව අයිතිවාසිකම් ලැබේ})
(:Entity {name: ඇපකරුවෙකු}),[:අර්ථ_දැක්වීම],(:Entity {name: වටිනාකමක් නොලැබ වෙනත් පාර්ශ්වකරුවෙකුට උදව් කිරීම සඳහා බිල්පතට අත්සන් කරන පුද්ගලයා})
(:Entity {name: ඇපකරුවා}),[:වගකීම],(:Entity {name: නීතියානුකූල හිමිකරුවන්ට වගකිව යුතුයි})
(:Entity {name: ඇපකරුවා}),[:අයිතිවාසිකම],(:Entity {name: උදව් කළ පාර්ශ්වකරුවාට එරෙහිව නැවත ඉල්ලීමේ අයිතිය})
(:Entity {name: වගකීම්}),[:අහිමි_වන්නේ],(:Entity {name: නිසි කාලයේ පිළිගැනීම සඳහා ඉදිරිපත් නොකිරීමෙන්})
(:Entity {name: වගකීම්}),[:අහිමි_වන්නේ],(:Entity {name: නිසි කාලයේ ගෙවීම සඳහා ඉදිරිපත් නොකිරීමෙන්})
(:Entity {name: වගකීම්}),[:අහිමි_වන්නේ],(:Entity {name: අවනත වීමේ දැනුම්දීම නොලැබීමෙන්})
(:Entity {name: පිළිගන්නාගේ වගකීම්}),[:ලක්ෂණය],(:Entity {name: සාමාන්‍යයෙන් අහිමි නොවේ})
(:Entity {name: විදේශීය බිල්පතක්}),[:අර්ථ_දැක්වීම],(:Entity {name: එක් රටක ඇදී තවත් රටක ගෙවිය යුතු බිල්පතක්})
(:Entity {name: දේශීය බිල්පතක්}),[:අර්ථ_දැක්වීම],(:Entity {name: එකම රට තුළ ඇදී ගෙවිය යුතු බිල්පතක්})
(:Entity {name: විදේශීය බිල්පත්}),[:අවශ්‍යතාව],(:Entity {name: අවනත වූ විට විරෝධතා සහතිකය අත්‍යාවශ්‍ය වේ})
(:Entity {name: විදේශීය බිල්පත්}),[:විශේෂත්වය],(:Entity {name: කුලක වශයෙන් නිකුත් කළ හැකිය})
(:Entity {name: හරස් කළ චෙක්පතක්}),[:ලක්ෂණය],(:Entity {name: චෙක්පතේ මුහුණත මත සමාන්තර රේඛා දෙකක් ඇත})
(:Entity {name: සාමාන්‍ය හරස් කිරීම}),[:ලක්ෂණය],(:Entity {name: රේඛා දෙකක් පමණක් ඕනෑම බැංකුවකට ගෙවිය හැකිය})
(:Entity {name: විශේෂ හරස් කිරීම}),[:ලක්ෂණය],(:Entity {name: බැංකුවක නම සමඟ එම බැංකුවට පමණක් ගෙවිය හැකිය})
(:Entity {name: හරස් කළ චෙක්පත්}),[:සීමාව],(:Entity {name: බැංකු ගිණුමකට පමණක් තැන්පත් කළ හැකිය})
(:Entity {name: ආදායකගේ ගිණුමට චෙක්පතක්}),[:ලක්ෂණය],(:Entity {name: සඳහන් ලබන්නාගේ බැංකු ගිණුමට පමණක් තැන්පත් කළ හැකිය})
(:Entity {name: ආදායකගේ ගිණුමට චෙක්පතක්}),[:ප්‍රතිලාභය],(:Entity {name: චෙක්පතේ ආරක්ෂාව වැඩි කරයි})
(:Entity {name: ආදායකගේ ගිණුමට චෙක්පතක්}),[:බැංකු_වගකීම],(:Entity {name: වෙනත් කෙනෙකුගේ ගිණුමකට තැන්පත් කළහොත් වගකීමට ලක් විය හැකිය})
(:Entity {name: කල් ඉකුත් වූ චෙක්පතක්}),[:කාලය],(:Entity {name: සාමාන්‍යයෙන් මාස 6ක්})
(:Entity {name: කල් ඉකුත් වූ චෙක්පතක්}),[:අර්ථ_දැක්වීම],(:Entity {name: නිකුත් කළ දිනයේ සිට සාධාරණ කාලයක් ඉක්මවා ගිය චෙක්පතක්})
(:Entity {name: බැංකුව}),[:වගකීම],(:Entity {name: සොරකම් කළ චෙක්පතක් මත ගෙවීම් කළහොත් වගකිව යුතු විය හැකිය})
(:Entity {name: බැංකුව}),[:හැකියාව],(:Entity {name: කල් ඉකුත් වූ චෙක්පත් ගෙවීම ප්‍රතික්ෂේප කළ හැකිය})
(:Entity {name: බැංකුව}),[:හැකියාව],(:Entity {name: ණය ආපසු නොගෙවූ විට බිල්පත බලාත්මක කිරීම})
(:Entity {name: බැංකුව}),[:යුතුකම],(:Entity {name: සඳහන් දිනයට පෙර ඉදිරිපත් කළහොත් ගෙවීම ප්‍රතික්ෂේප කළ යුතුයි})
(:Entity {name: බැංකුව}),[:යුතුකම],(:Entity {name: චෙක්පතේ අනුමත කිරීම් සහ අත්සන් පරීක්ෂා කිරීම})
(:Entity {name: බැංකුව}),[:ආරක්ෂාව],(:Entity {name: සාමාන්‍ය ප්‍රවේශමෙන් කටයුතු කළහොත් ආරක්ෂා විය හැකිය})
(:Entity {name: බැංකුව}),[:ක්‍රියාවලිය],(:Entity {name: වට්ටම් අනුපාතයක් අඩු කර මුදල ගෙවයි})
(:Entity {name: බැංකුව}),[:ක්‍රියාවලිය],(:Entity {name: කල් ඉකුත් වන විට පිළිගන්නාගෙන් මුදල එකතු කරයි})
(:Entity {name: පශ්චාත් දිනය සහිත චෙක්පතක්}),[:නීත්‍යානුකූලභාවය],(:Entity {name: ශ්‍රී ලංකා නීතිය යටතේ නීත්‍යානුකූල වේ})
(:Entity {name: පශ්චාත් දිනය සහිත චෙක්පතක්}),[:අර්ථ_දැක්වීම],(:Entity {name: අනාගත දිනයක් සහිත චෙක්පතක්})
(:Entity {name: පශ්චාත් දිනය සහිත චෙක්පත්}),[:භාවිතය],(:Entity {name: ණය ආරක්ෂාව සඳහා හෝ අනාගත ගෙවීම් සඳහා})
(:Entity {name: බිල්පත රද්ද කිරීම}),[:ක්‍රමය],(:Entity {name: හිතාමතා බිල්පත හෝ අත්සන විනාශ කිරීම})
(:Entity {name: බිල්පත රද්ද කිරීම}),[:ක්‍රමය],(:Entity {name: අවලංගු කළා යන වචනය ලියා අත්සන් කිරීම})
(:Entity {name: රද්ද කළ බිල්පත}),[:ප්‍රතිඵලය],(:Entity {name: නැවත භාවිත කළ නොහැක})
(:Entity {name: නැවත ලබා ගැනීම}),[:ක්‍රමය],(:Entity {name: ලිඛිතව හෝ බිල්පත ණයකරුවාට ලබා දීම})
(:Entity {name: නැවත ලබා ගැනීම}),[:බලපෑම],(:Entity {name: බිල්පත මුදා හරින අතර සියලු පාර්ශ්වකරුවන්ගේ වගකීම් අවසන් කරයි})
(:Entity {name: නැවත ලබා ගැනීම}),[:අර්ථ_දැක්වීම],(:Entity {name: හිමිකරු විසින් තම අයිතිවාසිකම් අත්හැරීම})
(:Entity {name: බිල්පතේ මූලික වෙනස්කම්}),[:බලපෑම],(:Entity {name: එය අවලංගු වේ})
(:Entity {name: මූලික වෙනස්කම්}),[:උදාහරණ],(:Entity {name: දිනය වෙනස් කිරීම})
(:Entity {name: මූලික වෙනස්කම්}),[:උදාහරණ],(:Entity {name: මුදල වෙනස් කිරීම})
(:Entity {name: හිමිකරුගේ අවසරයෙන් කළ වෙනස්කම්}),[:වලංගුභාවය],(:Entity {name: වලංගු වේ})
(:Entity {name: බිල්පත අලුත් කිරීම}),[:අවශ්‍යතාව],(:Entity {name: පැරණි බිල්පත මුදා හැරිය යුතුයි})
(:Entity {name: බිල්පත අලුත් කිරීම}),[:අර්ථ_දැක්වීම],(:Entity {name: කල් ඉකුත් වූ බිල්පතක් වෙනුවට නව බිල්පතක් නිකුත් කිරීම})
(:Entity {name: ප්‍රතිස්ථාපනය}),[:අර්ථ_දැක්වීම],(:Entity {name: නැතිවූ හෝ විනාශ වූ බිල්පතක් වෙනුවට ඒ හා සමාන බිල්පතක් නිකුත් කිරීම})
(:Entity {name: බිල්පත නැතිවීම}),[:ක්‍රියාමාර්ගය],(:Entity {name: වහාම අඳින්නාට සහ බැංකුවට දැනුම් දිය යුතුයි})
(:Entity {name: බිල්පත නැතිවීම}),[:ක්‍රියාමාර්ගය],(:Entity {name: ගෙවීම නවත්වන ලෙස ඉල්ලා සිටිය යුතුයි})
(:Entity {name: බිල්පත නැතිවීම}),[:විසඳුම],(:Entity {name: අධිකරණයෙන් නව බිල්පතක් නිකුත් කිරීමට නියෝගයක් ලබා ගත හැකිය})
